cell,cycle,capacity_Ah_raw,capacity_Ah,nominal_capacity_Ah,soh_pct,subgroup,major_group,source_file
Tongji1_CY25-025_1--1,1,3.247637309043511,3.2485211154773204,3.5,92.81488901363772,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,2,3.248392912110191,3.2479044013441216,3.5,92.79726860983205,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,3,3.2473869417910453,3.247083927968342,3.5,92.77382651338121,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,4,3.2460831529032372,3.2460736684159053,3.5,92.74496195474015,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,5,3.245597822443846,3.2448875957527346,3.5,92.71107416436384,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,6,3.243843591233181,3.243539683044753,3.5,92.67256237270723,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,7,3.242039956559247,3.242043903357884,3.5,92.62982581022526,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,8,3.239241024420031,3.2404142297580507,3.5,92.58326370737288,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,9,3.2384055732499184,3.2386646353111765,3.5,92.53327529460503,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,10,3.237940645133329,3.2368090930831848,3.5,92.48025980237671,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,11,3.234809158320449,3.234861576139999,3.5,92.42461646114282,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,12,3.232549862462026,3.2328360575475417,3.5,92.36674450135833,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,13,3.23043121574083,3.2307465103717288,3.5,92.30704315347796,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,14,3.228576353852678,3.228572690313074,3.5,92.24493400894497,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,15,3.2262181382613098,3.226461671970393,3.5,92.18461919915408,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,16,3.2238239789525034,3.224333861837951,3.5,92.12382462394146,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,17,3.221956325924888,3.2221716819579593,3.5,92.06204805594169,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,18,3.219968180906847,3.2200616409167546,3.5,92.00176116905014,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,19,3.217804932866211,3.217951073199092,3.5,91.94145923425977,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,20,3.2156246505217823,3.2158441056559313,3.5,91.88126016159804,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,21,3.213620728722874,3.213654728008351,3.5,91.81870651452432,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,22,3.211942418505997,3.211534691896356,3.5,91.7581340541816,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,23,3.209571042349176,3.209509757818127,3.5,91.70027879480362,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,24,3.207314138626977,3.2074445701197343,3.5,91.64127343199242,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,25,3.2053466180654526,3.2054055069966436,3.5,91.58301448561839,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,26,3.2034929719615355,3.203334469344453,3.5,91.52384198127008,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,27,3.20124823222168,3.2012882941981715,3.5,91.46537983423347,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,28,3.1991273121145287,3.1992443447912797,3.5,91.40698127975085,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,29,3.197283567920734,3.1971990155193857,3.5,91.34854330055387,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,30,3.195266897111412,3.195163386356903,3.5,91.2903824673401,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,31,3.193184845480554,3.1931521941088232,3.5,91.23291983168066,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,32,3.1910514940058037,3.1911768770322144,3.5,91.17648220092042,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,33,3.189260601457926,3.1891823041250325,3.5,91.11949440357236,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,34,3.18700708919868,3.1871993941135757,3.5,91.06283983181645,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,35,3.1852856383939603,3.185256611761781,3.5,91.00733176462232,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,36,3.1833497963802087,3.18332136629983,3.5,90.952039037138,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,37,3.180889679802517,3.181375244382955,3.5,90.89643555379871,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,38,3.179538272755396,3.1794334282062353,3.5,90.84095509160672,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,39,3.1777155286313232,3.177531980363061,3.5,90.78662801037318,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,40,3.1757970733120393,3.1756453979897152,3.5,90.732725656849,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
Tongji1_CY25-025_1--1,41,3.173778614289959,3.173754465619683,3.5,90.67869901770523,Tongji1_CY25-025,Tongji1,Tongji1_CY25-025_1--1.pkl
